dateofdeath,name,age,bio,causeofdeath,,
2016-01-06,Robert D. Acland,74,American surgeon (Acland's Video Atlas of Human Anatomy).,,,
2016-01-06,Maliheh Afnan,81,Palestinian-born artist.,,,
2016-01-06,Ioannis Petridis,84,"Greek politician, MP for Pieria (19851989)",,,
2016-01-06,Hayes McClerkin,84,"American lawyer and politician, Speaker at the Arkansas House of Representatives (19691970)",,,
2016-01-06,Marion Studholme,88,English soprano and music teacher.,,,
2016-01-06,Silvana Pampanini,90,"Italian actress (The Road a Year Long, The City Stands Trial, A Husband for Anna).",,,
2016-01-06,Douglas Greer,94,American actor (Our Gang).,,,
2016-01-06,Yves Vincent,94,French actor.,,,
2016-01-07,Sir Christopher Wallace,73,"British army general, Commandant Royal College of Defence Studies (20012005)", amyloidosis,,
2016-01-07,Yeow Chai Thiam,62,Malaysian politician, cancer,,
2016-01-07,Judith Kaye,77,"American lawyer, Chief Judge of the New York Court of Appeals (19932008)", cancer,,
2016-01-07,Richard Libertini,82,"American actor (Fletch, All of Me, Popeye)", cancer,,
2016-01-07,Sergei Simonov,23,Russian ice hockey player (HC Lipetsk), complications after spleen surgery,,
2016-01-07,Troy Shondell,76,American singer, complications from Alzheimer's disease and Parkinson's disease,,
2016-01-07,Anton Srholec,86,Slovak writer and priest, lung cancer,,
2016-01-07,Mufti Mohammad Sayeed,79,"Indian politician, Chief Minister of Jammu and Kashmir (20022005, since 2015), Minister of Home Affairs (19891990)", multiple organ failure,,
2016-01-07,Jess Maria Ramn Valds,77,Mexican politician.,,,
2016-01-07,Michael J. Egan,89,American politician.,,,
2016-01-07,Andr Courrges,92,French fashion designer.,,,
2016-01-07,Patrick Connolly, 8889,"Irish lawyer, Attorney General (1982)",,,
2016-01-07,Sergey Shustikov,45,Russian football player (Torpedo Moscow) and manager (Solyaris Moscow).,,,
2016-01-07,Jit Samaroo,65,Trinidadian Steelpan musician and arranger.,,,
2016-01-07,John Johnson,68,"American basketball player (Cleveland Cavaliers, Houston Rockets, Seattle SuperSonics), NBA Champion (1979).",,,
2016-01-07,Cristian Moisescu,68,"Romanian politician, Mayor of Arad (19921996)",,,
2016-01-07,Istvn Komromi,72,"Hungarian politician, MP (19941998)",,,
2016-01-07,William H. O'Dell,77,"American politician, member of the South Carolina Senate (since 1989)",,,
2016-01-07,Valerio Zanone,79,"Italian politician, Secretary of Italian Liberal Party (19761985) and Mayor of Turin (19901991)",,,
2016-01-07,Alan Haven,80,English jazz organist.,,,
2016-01-07,Alwin Albert Hafner,85,Malagasy Roman Catholic prelate,,,
2016-01-07,Bill Foster,86,"American college basketball coach (Rutgers, Utah, Duke, South Carolina).",,,
2016-01-07,Hansrudi Wscher,87,German comics artist.,,,
2016-01-07,Robert Goossens,88,French jeweller.,,,
2016-01-07,Anna Synodinou,88,Greek politician and actress (The 300 Spartans).,,,
2016-01-07,Houshang Ostovar,88,Iranian composer.,,,
2016-01-07,Robert M. Cundick,89,American organist and composer.,,,
2016-01-07,Paddy Doherty,89,Northern Irish civil rights activist.,,,
2016-01-07,Joaquin Gamboa Pascoe,93,Mexican trade union leader and politician.,,,
2016-01-07,Brahim Chergui,94,Algerian militant.,,,
2016-01-07,Kitty Kallen,94,"American singer (""Little Things Mean a Lot"").",,,
2016-01-07,Ashraf Pahlavi,96,"Persian princess, President of the Women's Organization of Iran (19671979)",,,
2016-01-07,Jnos Gyrgy Szilgyi,97,Hungarian historian.,,,
2016-01-08,German Moreno,82,"Philippine television host (That's Entertainment, Walang Tulugan with the Master Showman, GMA Supershow) and actor", cardiac arrest,,
2016-01-08,Red Simpson,81,"American country singer-songwriter (""I'm a Truck"")", complications from a heart attack,,
2016-01-08,Royal Parker,86,American television personality, heart failure,,
2016-01-08,Otis Clay,73,"American R&B and soul singer (""Tryin' to Live My Life Without You"", ""The Only Way Is Up"")",heart attack,,
2016-01-08,Brett Smiley,60,American singer-songwriter.,,,
2016-01-08,Oscar Fritschi,76,Swiss politician.,,,
2016-01-08,Carlos Milciades Villalba Aquino,91,Paraguayan Roman Catholic prelate,,,
2016-01-08,Gunaram Khanikar,66,Indian herbalist.,,,
2016-01-08,Hamdy Ahmed,82,"Egyptian actor (Al-Kahira 30, Al-Ard, Al Asfour).",,,
2016-01-08,Diana Mitchell,83,Zimbabwean political activist and writer.,,,
2016-01-08,M. O. Joseph,86,Indian film producer.,,,
2016-01-08,Maria Teresa de Filippis,89,"Italian racing driver, first woman to race in Formula One (Maserati, Behra-Porsche).",,,
2016-01-08,Piet Steenkamp,90,"Dutch politician, President of the Senate (19831991)",,,
2016-01-08,Medea Jugeli,90,"Georgian gymnast, Olympic champion (1952)",,,
2016-01-08,Paddy Reid,91,Irish rugby union and league player.,,,
2016-01-08,Alessandro Ghinami,92,"Italian politician, President of Sardinia (19791980)",,,
2016-01-08,Ida Gaskin,96,Welsh-born New Zealand teacher and quiz show contestant.,,,
2016-01-09,Lance Rautzhan,63,"American baseball player (Los Angeles Dodgers, Milwaukee Brewers)", cancer,,
2016-01-09,Gareth Hoskins,48,Scottish architect, complications of a heart attack,,
2016-01-09,Cielito del Mundo,80,"Filipino singer, actress and politician", heart attack,,
2016-01-09,Jos Maria Rivas,57,Salvadoran footballer (national team), leukemia,,
2016-01-09,Beau St. Clair,63,"American film producer (The Thomas Crown Affair, The November Man, Laws of Attraction)", ovarian cancer,,
2016-01-09,Myra Carter,86,"American actress (Three Tall Women, 8mm)", pneumonia,,
2016-01-09,Lawrence H. Cohn,78,American surgeon, stroke,,
2016-01-09,Ed Stewart,74,"British TV and radio broadcaster (Top of the Pops, Crackerjack)", stroke,,
2016-01-09,Merab Chigoev,65,"South Ossetian politician, Prime Minister (19982001)", traffic collision,,
2016-01-09,St Jovite,26,"American-bred Irish-trained racehorse, winner of the 1992 Irish Derby and King George VI and Queen Elizabeth Stakes",,,
2016-01-09,Peter Gavin Hall,64,Australian statistician.,,,
2016-01-09,Vicente Troudart,64,Panamanian baseball umpire.,,,
2016-01-09,Zelimkhan Yaqub,65,Azerbaijani poet.,,,
2016-01-09,Peggy Willis-Aarnio,67,American ballet choreographer.,,,
2016-01-09,Hamada Emam,68,Egyptian footballer (Zamalek SC).,,,
2016-01-09,Mike McGinnity,74,English football chairman (Coventry City).,,,
2016-01-09,Barbara Allyne Bennet,76,"American actress (Mac and Me, The Office)",,,
2016-01-09,John Harvard,77,"Canadian politician, Lieutenant Governor of Manitoba (20042009)",,,
2016-01-09,Gianni Rondolino,83,"Italian film critic and historian, founder of the Turin Film Festival",,,
2016-01-09,Angus Scrimm,89,"American actor (Phantasm, Alias, John Dies at the End).",,,
2016-01-09,Robert Naegele,90,"German actor (The NeverEnding Story II, The Old Fox, Waller's Last Trip).",,,
2016-01-09,Umberto Raho,93,"Italian actor (The Bird with the Crystal Plumage, The Last Man on Earth, Superfantagenio).",,,
2016-01-09,Paul-Marie Franois Rousset,94,French Roman Catholic prelate,,,
2016-01-09,Johnny Jordan,94,English footballer (Tonbridge).,,,
2016-01-10,Jeanne Crdova,67,German-born American LGBT activist, brain cancer,,
2016-01-10,Brd Breivik,67,Norwegian sculptor, cancer,,
2016-01-10,Hernn Gamboa,69,Venezuelan musician (Serenata Guayanesa), cancer,,
2016-01-10,Arthur S. Obermayer,84,American entrepreneur and philanthropist, cancer,,
2016-01-10,Ulrich Hahnen,63,"German politician, Deputy of the Landtag of North Rhine-Westphalia (since 2010)", cancer,,
2016-01-10,Ann Z. Caracristi,94,"American cryptographer, Deputy Director of the NSA (19801982)", complications from dementia,,
2016-01-10,George Jonas,80,Hungarian-born Canadian writer, Parkinson's disease,,
2016-01-10,Michael Galeota,31,American actor (The Jersey).,heart faiulre,,
2016-01-10,David Bowie,69,"English singer-songwriter, musician (""Space Oddity"", ""Heroes"", ""Starman"") and actor (Labyrinth, Zoolander).",liver cancer,,
2016-01-10,Wim Bleijenberg,85,"Dutch footballer (Ajax, national team)",,,
2016-01-10,Carolyn Denning,88,American pediatrician.,,,
2016-01-10,Alton Brown,90,American baseball player (Washington Senators).,,,
2016-01-10,Connie Mhone,47,Malawian netball player and coach.,,,
2016-01-10,Abbas Bahri,61,Tunisian mathematician and professor (Rutgers University).,,,
2016-01-10,John Stokes,70,British Army soldier and mountaineer.,,,
2016-01-10,Teofil Codreanu,74,Romanian footballer (Rapid Bucure_ti).,,,
2016-01-10,Anthony Mellows,79,"British barrister and academic, Lord Prior of the Order of St John (20082014)",,,
2016-01-10,The Wolfman,80,Hungarian-born Canadian professional wrestler (WWWF).,,,
2016-01-10,Yusuf Zuayyin,84,"Syrian politician, Prime Minister (1965, 19661968).",,,
2016-01-10,Bob Oatley,87,Australian yachtsman (Wild Oats XI) and winemaker (Rosemount).,,,
2016-01-10,Kalevi Lehtovirta,87,Finnish footballer.,,,
2016-01-10,Francis Thomas Hurley,88,"American Roman Catholic prelate, Archbishop of Anchorage (19762001), Bishop of Juneau (19711976).",,,
2016-01-10,Cornelis Zitman,89,Dutch-born Venezuelan sculptor.,,,
2016-01-10,Alex Hickman,90,Canadian judge and politician.,,,
2016-01-10,Dick Spady,92,American businessman (Dick's Drive-In).,,,
2016-01-10,Charles Congden Carpenter,94,American naturalist.,,,
2016-01-10,Ralph Hauenstein,103,American philanthropist and businessman.,,,
2016-01-11,Sylvan Barnet,89,American literary critic, cancer,,
2016-01-11,Don Strauch,89,"American politician, Mayor of Mesa, Arizona (19801984), member of the Arizona House of Representatives (19871988)", complications from a fall,,
2016-01-11,Reginaldo Arajo,38,Brazilian footballer, heart attack,,
2016-01-11,Budi Anduk,47,Indonesian actor (Opera Van Java) and comedian, pneumonia,,
2016-01-11,Albert Onyembo Lomandjo,84,Congolese Roman Catholic prelate,,,
2016-01-11,Jnos Radvnyi,93,"Hungarian-born American political scientist and diplomat, Ambassador to the United States (19621967)",,,
2016-01-11,Chuck Pitcock,57,American football player (Tampa Bay Bandits).,,,
2016-01-11,Yevgeny Kotlov,66,Russian Soviet ice hockey player (Dynamo Moscow).,,,
2016-01-11,Elizabeth Aston,67,English author.,,,
2016-01-11,John Easter,70,"English squash player and cricketer, World Championship silver medallist (1973)",,,
2016-01-11,David Margulies,78,"American actor (Ghostbusters, The Sopranos, Conversations with My Father).",,,
2016-01-11,Berge Furre,78,Norwegian politician and historian.,,,
2016-01-11,Stanley Mann,87,"Canadian scriptwriter (The Collector, Conan the Destroyer, Firestarter).",,,
2016-01-11,Robert Coates,87,"Canadian politician, MP (19571988)",,,
2016-01-11,Sir Kenneth Corfield,91,"British camera engineer, inventor of the Corfield Periflex ",,,
2016-01-11,Monte Irvin,96,"American Hall of Fame baseball player (Newark Eagles, New York Giants, Chicago Cubs), winner of the 1954 World Series.",,,
2016-01-11,Gunnel Vallquist,97,Swedish writer and translator (In Search of Lost Time).,,,
2016-01-11,John B. Mansbridge,98,"American art director (Bedknobs and Broomsticks, Tron, The Apple Dumpling Gang).",,,
2016-01-12,Brian Johnson,59,"Australian rugby league player and coach (St. George, Warrington)", Alzheimer's disease,,
2016-01-12,Dave Sime,79,"American sprinter and ophthalmologist, Olympic silver medalist (1960)", cancer,,
2016-01-12,"James L. Browning, Jr",83,American prosecutor, fall,,
2016-01-12,Gastn Guzmn,83,Mexican mycologist and anthropologist, heart attack,,
2016-01-12,Rose Chibambo,86,"Malawian politician, Deputy Minister for Hospitals, Prisons and Social Welfare (19631964)", heart attack,,
2016-01-12,Andrew Smith,25,"American basketball player (Butler Bulldogs, Nept_nas), Nept_nas)", non-Hodgkin lymphoma,,
2016-01-12,Ivan Bukavshin,20,Russian chess Grandmaster, stroke,,
2016-01-12,Milorad Rajovi_,61,Serbian footballer.,,,
2016-01-12,Carolyn D. Wright,67,American poet.,,,
2016-01-12,Marian Czapla,69,Polish painter.,,,
2016-01-12,Gian Bazzi,84,Swiss ice hockey player.,,,
2016-01-12,John Stevens,86,British journalist.,,,
2016-01-12,Robert Black,68,Scottish serial killer and kidnapper.,,,
2016-01-12,Melania Ursu,75,Romanian stage and film actress (Flames over Treasures).,,,
2016-01-12,Tommy Mulgrew,86,British footballer (Southampton).,,,
2016-01-12,Ruth Leuwerik,91,German film actress (The Trapp Family).,,,
2016-01-12,Witold Ma_czak,91,Polish linguist.,,,
2016-01-12,William Needles,97,American-Canadian actor.,,,
2016-01-12,Meg Mundy,101,"American actress (Fatal Attraction, All My Children, Ordinary People).",,,
2016-01-13,Bern Herbolsheimer,67,American composer, cancer,,
2016-01-13,Brian Bedford,80,"British actor (Robin Hood, Nixon, Much Ado About Nothing)", cancer,,
2016-01-13,Luis Arroyo,88,"Puerto Rican baseball player (St. Louis Cardinals, Pittsburgh Pirates, New York Yankees), winner of the 1961 World Series", cancer,,
2016-01-13,Tera Wray,33,American pornographic actress, suicide,,
2016-01-13,Lawrence Phillips,40,"American football player (University of Nebraska, St Louis Rams) and convicted felon", suicide,,
2016-01-13,J. F. R. Jacob,92,Indian military officer.,,,
2016-01-13,William Craig,97,American philosopher.,,,
2016-01-13,Vladimir Pribylovsky,59,Russian human rights activist and journalist.,,,
2016-01-13,Addepalli Ramamohana Rao,80,Indian Telugu poet.,,,
2016-01-13,Giorgio Gomelsky,81,"Georgian-born Swiss filmmaker (La Collectionneuse), impresario, band manager (The Rolling Stones, The Yardbirds), songwriter and record producer.,",,,
2016-01-13,Mike Salmon,82,British racing driver.,,,
2016-01-13,Jim Simpson,88,American sportscaster (NBC Sports).,,,
2016-01-13,Zaharije Trnav_evi_,90,"Serbian politician, Acting President of the National Assembly (2012)",,,
2016-01-13,Lois Weisberg,90,American civil servant and socialite.,,,
2016-01-13,Conrad Phillips,90,British television and film actor (The Adventures of William Tell).,,,
2016-01-13,G. A. Vadivelu,90,Indian independence activist and politician.,,,
2016-01-13,Sir Albert McQuarrie,98,"Scottish politician, MP for East Aberdeenshire (19791983) and Banff and Buchan (19831987)",,,
2016-01-14,Ellen Meiksins Wood,73,American historian, cancer,,
2016-01-14,Robert Banks Stewart,84,"Scottish television writer (Doctor Who, Bergerac, Shoestring)", cancer,,
2016-01-14,Shaolin,44,Brazilian humorist, heart attack,,
2016-01-14,Rajesh Vivek,66,Indian actor (Lagaan), heart attack,,
2016-01-14,Alan Rickman,69,"English actor (Harry Potter, Die Hard, Love Actually)", pancreatic cancer,,
2016-01-14,Ren Anglil,73,Canadian entertainment manager (Celine Dion), throat cancer,,
2016-01-14,P. M. K. Raghunath,65,Indian cricketer.,,,
2016-01-14,Sergio Vacchi,90,Italian painter.,,,
2016-01-14,Glyn W. Humphreys,61,British neuropsychologist.,,,
2016-01-14,James Hannah,71,"American attorney, Chief Justice of the Arkansas Supreme Court (20052015)",,,
2016-01-14,Anna L¾rkesen,73,Danish ballerina.,,,
2016-01-14,Leonid Zhabotinsky,77,"Ukrainian Soviet weightlifter, Olympic champion (1964, 1968).",,,
2016-01-14,Franco Citti,80,"Italian actor (The Godfather, Accattone, The Decameron).",,,
2016-01-14,Franco Oppo,80,Italian composer.,,,
2016-01-14,Al Hart,88,"American radio host (KCBS, KNBR, WOBT).",,,
2016-01-14,George Carroll,94,"American lawyer and politician, Mayor of Richmond, California (19641965)., Mayor of Richmond, California (19641965).",,,
2016-01-15,Francisco X. Alarcn,61,American poet, cancer,,
2016-01-15,Ken Judge,58,"Australian football player (East Fremantle, Hawthorn, Brisbane Bears) and coach (Hawthorn, West Coast Eagles)", cancer,,
2016-01-15,Daniel Joseph Bohan,74,"Canadian Roman Catholic prelate, Archbishop of Regina (since 2005)", cancer,,
2016-01-15,Noreen Corcoran,72,"American actress (The Girls on the Beach, Gidget Goes to Rome, Bachelor Father)", cardiopulmonary disease,,
2016-01-15,Dan Haggerty,74,American actor (The Life and Times of Grizzly Adams), spinal cancer,,
2016-01-15,Pete Huttlinger,54,"American guitarist (John Denver, LeAnn Rimes)", stroke,,
2016-01-15,Rex Morgan,67,American basketball player (Boston Celtics), throat cancer,,
2016-01-15,Aristide von Bienefeldt,56,Dutch writer.,,,
2016-01-15,Tunku Alif Hussein Saifuddin Al-Amin,31,Malaysian royal.,,,
2016-01-15,Manuel Velzquez,72,"Spanish footballer (Real Madrid, Rayo Vallecano, Mlaga), winner of the 196566 European Cup.",,,
2016-01-15,P. J. Mara,73,"Irish public affairs consultant, Senator (19771981, 19821983).",,,
2016-01-15,Grzegorz Strouhal,73,Polish Olympic sport shooter.,,,
2016-01-15,Andrzej Kotkowski,75,Polish film director (Olympics 40).,,,
2016-01-15,Oleksandr Shevchenko,78,"Ukrainian scientist, jurist and politician, member of the Verkhovna Rada (20122014).",,,
2016-01-15,Marie L. Garibaldi,81,"American judge, first woman to serve on the New Jersey Supreme Court",,,
2016-01-15,Anil Ganguly,82,"Indian film director (Kora Kagaz, Tapasya)",,,
2016-01-15,Buzzy Wilkinson,83,American basketball player (Virginia Cavaliers).,,,
2016-01-15,Avrom Isaacs,89,Canadian art dealer.,,,
2016-01-15,Peter Atteslander,89,Swiss sociologist.,,,
2016-01-15,John J. Pruis,92,"American educator, President of Ball State University (19681978)",,,
2016-01-15,Robin Fletcher,93,"British academic administrator and field hockey player, Olympic bronze medallist (1952)",,,
2016-01-15,Alexandre Reza,93,Russian-born French jeweler.,,,
2016-01-15,James Birren,97,American gerontologist.,,,
2016-01-15,Robert Darne,102,French actor (The Cage).,,,
